Steering Angle [o];Absolute [];Time [s];
-61.10595703125;12344.0;0.008220195770263672;
-61.14990234375;12346.0;0.018236160278320312;
-61.171875;12347.0;0.028223037719726562;
-61.1279296875;12345.0;0.038259029388427734;
-61.2158203125;12349.0;0.04816007614135742;
-61.171875;12347.0;0.058785200119018555;
-61.1279296875;12345.0;0.06822013854980469;
-61.1279296875;12345.0;0.07834005355834961;
-61.083984375;12343.0;0.08844208717346191;
-61.1279296875;12345.0;0.09855508804321289;
-61.10595703125;12344.0;0.10866904258728027;
-61.14990234375;12346.0;0.11877202987670898;
-61.083984375;12343.0;0.12888598442077637;
-61.083984375;12343.0;0.13899612426757812;
-61.1279296875;12345.0;0.1491069793701172;
-61.1279296875;12345.0;0.1592850685119629;
-61.14990234375;12346.0;0.16932916641235352;
-61.1279296875;12345.0;0.1794421672821045;
-61.1279296875;12345.0;0.18955111503601074;
-61.171875;12347.0;0.199660062789917;
-61.14990234375;12346.0;0.20976519584655762;
-61.083984375;12343.0;0.21988701820373535;
-61.10595703125;12344.0;0.22999000549316406;
-61.14990234375;12346.0;0.24010515213012695;
-61.06201171875;12342.0;0.2502140998840332;
-61.171875;12347.0;0.26033616065979004;
-61.083984375;12343.0;0.2704451084136963;
-61.14990234375;12346.0;0.2805440425872803;
-61.083984375;12343.0;0.290661096572876;
-61.1279296875;12345.0;0.3007831573486328;
-61.083984375;12343.0;0.3108820915222168;
-61.1279296875;12345.0;0.32099199295043945;
-61.14990234375;12346.0;0.3310990333557129;
-61.1279296875;12345.0;0.3412141799926758;
-61.10595703125;12344.0;0.3513360023498535;
-61.10595703125;12344.0;0.36143016815185547;
-61.171875;12347.0;0.3715500831604004;
-61.171875;12347.0;0.38165807723999023;
-61.10595703125;12344.0;0.3917660713195801;
-61.1279296875;12345.0;0.40187907218933105;
-61.1279296875;12345.0;0.4119880199432373;
-61.1279296875;12345.0;0.4221010208129883;
-61.171875;12347.0;0.43221116065979004;
-61.083984375;12343.0;0.44233107566833496;
-61.083984375;12343.0;0.45243120193481445;
-61.1279296875;12345.0;0.46277308464050293;
-61.1279296875;12345.0;0.4728541374206543;
-61.1279296875;12345.0;0.4829862117767334;
-61.1279296875;12345.0;0.49308109283447266;
-61.083984375;12343.0;0.5032451152801514;
-61.1279296875;12345.0;0.5133090019226074;
-61.083984375;12343.0;0.5236160755157471;
-61.10595703125;12344.0;0.533527135848999;
-61.171875;12347.0;0.543673038482666;
-61.1279296875;12345.0;0.5535910129547119;
-61.14990234375;12346.0;0.56386399269104;
-61.1279296875;12345.0;0.573760986328125;
-61.14990234375;12346.0;0.5838720798492432;
-61.083984375;12343.0;0.593986988067627;
-61.1279296875;12345.0;0.6040949821472168;
-61.1279296875;12345.0;0.6142129898071289;
-61.1279296875;12345.0;0.6243171691894531;
-61.1279296875;12345.0;0.6344280242919922;
-61.14990234375;12346.0;0.6445310115814209;
-61.10595703125;12344.0;0.6546480655670166;
-61.1279296875;12345.0;0.6647570133209229;
-61.083984375;12343.0;0.674868106842041;
-61.14990234375;12346.0;0.6849792003631592;
-61.10595703125;12344.0;0.695087194442749;
-61.1279296875;12345.0;0.7052102088928223;
-61.1279296875;12345.0;0.7153120040893555;
-61.1279296875;12345.0;0.7254290580749512;
-61.1279296875;12345.0;0.7355351448059082;
-61.1279296875;12345.0;0.7456450462341309;
-61.1279296875;12345.0;0.755756139755249;
-61.14990234375;12346.0;0.7658641338348389;
-61.1279296875;12345.0;0.7759749889373779;
-61.1279296875;12345.0;0.7860891819000244;
-61.1279296875;12345.0;0.796205997467041;
-61.1279296875;12345.0;0.8063080310821533;
-61.06201171875;12342.0;0.8164219856262207;
-61.1279296875;12345.0;0.8267381191253662;
-61.083984375;12343.0;0.8368430137634277;
-61.14990234375;12346.0;0.8469541072845459;
-61.14990234375;12346.0;0.8572711944580078;
-61.10595703125;12344.0;0.8673861026763916;
-61.083984375;12343.0;0.8777041435241699;
-61.14990234375;12346.0;0.8878190517425537;
-61.1279296875;12345.0;0.8988661766052246;
-61.14990234375;12346.0;0.9089040756225586;
-61.10595703125;12344.0;0.918889045715332;
-61.1279296875;12345.0;0.9287881851196289;
-61.171875;12347.0;0.9384469985961914;
-61.171875;12347.0;0.9483730792999268;
-61.10595703125;12344.0;0.9585921764373779;
-61.14990234375;12346.0;0.9683911800384521;
-61.083984375;12343.0;0.9784040451049805;
-61.14990234375;12346.0;0.9884581565856934;
-61.2158203125;12349.0;0.9984631538391113;
-61.14990234375;12346.0;1.0085179805755615;
-61.1279296875;12345.0;1.018632173538208;
-61.10595703125;12344.0;1.0287702083587646;
-61.083984375;12343.0;1.038865089416504;
-61.083984375;12343.0;1.0489680767059326;
-61.1279296875;12345.0;1.0597710609436035;
-61.14990234375;12346.0;1.0692050457000732;
-61.14990234375;12346.0;1.079294204711914;
-61.083984375;12343.0;1.089407205581665;
-61.1279296875;12345.0;1.0995230674743652;
-61.1279296875;12345.0;1.1096320152282715;
-61.1279296875;12345.0;1.1197421550750732;
-61.10595703125;12344.0;1.1298441886901855;
-61.1279296875;12345.0;1.1399672031402588;
-61.083984375;12343.0;1.150071144104004;
-61.1279296875;12345.0;1.160189151763916;
-61.10595703125;12344.0;1.1702990531921387;
-61.19384765625;12348.0;1.180462121963501;
-61.083984375;12343.0;1.1906440258026123;
-61.171875;12347.0;1.2006289958953857;
-61.1279296875;12345.0;1.2107410430908203;
-61.083984375;12343.0;1.2208530902862549;
-61.14990234375;12346.0;1.2309629917144775;
-61.14990234375;12346.0;1.2410659790039062;
